번호,제목,사건번호,선고일자,참조조문,조문번호,판시사항
1,해임처분취소,2018구합50192,2020. 6. 11.,감사원법,제32조,"한국방송공사 이사들이 업무추진비를 사적용도로 부당사용하였다는 이유로 감사원이 방송통신위원회에 해당 이사들에 대한 해임건의 등 인사조치 방안 마련을 요구하자, 방송통신위원회가 한국방송공사 이사 甲에 대하여 ‘업무추진비를 사적용도에 사용하고, 甲의 사퇴를 촉구하는 시위대를 조롱하는 등 부적절한 처신으로 한국방송공사의 명예실추와 국민의 신뢰저하를 초래하였다’는 해임사유로 해임을 건의하는 의결을 함에 따라 대통령이 이를 받아들여 甲에게 해임처분을 한 사안에서, 위 처분이 재량권을 일탈하거나 남용한 것으로 위법하다고 한 사례"
,,,,민법,제61조,
,,,,방송법,"제44조, 제46조",
,,,,행정소송법,제27조,
2,정보통신망이용촉진및정보보호등에관한법률위반(음란물유포)방조,2018고단3643,2020. 2. 4.,전기통신사업법 시행령,제29조,"인터넷 웹하드 사이트들을 운영하는 피고인 甲 주식회사의 대표이사 피고인 乙이 위 각 사이트를 통해 방대한 양의 음란 동영상이 배포되는 사실을 알면서도 위 동영상이 배포되지 못하도록 충분한 인력을 고용하여 방지 작업을 하는 등 적절한 조치를 취하지 아니함으로써 불특정 다수의 회원들로 하여금 정보통신망을 통하여 음란한 영상을 배포하거나 공공연하게 전시하는 것을 용이하게 하였다고 하여 정보통신망 이용촉진 및 정보보호 등에 관한 법률 위반(음란물유포) 방조의 공소사실로 기소된 사안에서, 검사가 제출한 증거들만으로는 공소사실을 유죄로 단정하기 어렵다는 이유로 피고인들에게 무죄를 선고한 사례"
,,,,정보통신망 이용촉진 및 정보보호 등에 관한 법률,"제44조의7, 제74조, 제75조",
,,,,형법,제32조,
,,,,형사소송법,제325조,
3,손해배상(지),2017나2615,2019. 11. 15.,식물신품종 보호법,"제2조, 제16조, 제17조, 제38조, 제39조, 제54조, 제56조, 제58조, 제61조, 제83조, 제84조, 제85조",
,,,,특허법,"제65조, 제87조, 제94조",
4,"대부업등의등록및금융이용자보호에관한법률위반ㆍ정보통신망이용촉진및정보보호등에관한법률위반(대부업 등의 등록 및 금융이용자 보호에 관한 법률(이하 '대부업법' 제2조 제1호가 규정하는 '금전의 대부'는 그 개념요소로서 거래의 수단이나 방법 여하를 불문하고 적어도 기간을 두고 장래에 일정한 액수의 금전을 돌려받을 것을 전제로 금전을 교부함으로써 신용을 제공하는 행위를 필수적으로 포함하고 있어야 하고, 이와 같은 대부의 개념요소를 인정하기 어려운 경우까지 대부업법상 금전의 대부로 보는 것은 죄형법정주의의 원칙에 위반된다고 본 사건)",2018도7682,2019. 9. 26.,대부업 등의 등록 및 금융이용자 보호에 관한 법률,"제1조, 제2조, 제3조, 제8조, 제19조","[1] 대부업 등의 등록 및 금융이용자 보호에 관한 법률 제2조 제1호에서 규정한 ‘금전의 대부’는 그 개념요소로서 거래의 수단이나 방법 여하를 불문하고 적어도 기간을 두고 장래에 일정한 액수의 금전을 돌려받을 것을 전제로 금전을 교부함으로써 신용을 제공하는 행위를 필수적으로 포함하고 있어야 하는지 여부(적극) / 재화 또는 용역을 할인하여 매입하는 거래를 통해 금전을 교부하는 경우, 금전의 교부에 관해 위와 같은 대부의 개념요소를 인정하기 어려운 경우까지 이를 같은 법상 금전의 대부로 보는 것은 죄형법정주의의 원칙에 위배되는지 여부(적극)
[2] 피고인이 인터넷 사이트에 ‘소액대출 및 소액결제 현금화’ 등의 문구를 적시한 광고글을 게시하여 이를 보고 접근한 의뢰인들에게 문화상품권을 소액결제를 하고 구매 후 인증되는 문화상품권의 핀(PIN) 번호를 자신에게 알려주게 하여 의뢰인들이 구매한 문화상품권 액면가의 일정 금액을 선이자 명목으로 공제하고 나머지 금액을 대부해 준 다음 위 핀 번호를 상품권업자에게 판매하는 방법으로 미등록 대부업을 영위하였다고 하여 대부업 등의 등록 및 금융이용자 보호에 관한 법률 위반으로 기소된 사안에서, 피고인이 의뢰인들로부터 상품권을 할인 매입하면서 그 대금으로 금전을 교부한 것은 대부의 개념요소를 갖추었다고 보기 어려워 같은 법의 규율 대상이 되는 ‘금전의 대부’에 해당하지 않는다는 이유로, 이와 다른 전제에서 공소사실을 유죄로 판단한 원심판결에 법리오해의 잘못이 있다고 한 사례"
,,,,대한민국헌법,제12조,
,,,,형법,제1조,
,,,,형사소송법,제325조,
